index,name,constellation,right_ascension,declination,apparent_magnitude,absolute_magnitude,distance_light_year,spectral_class
30,41 H. And,Andromeda,1.6962555555555556,42.61380555555556,4.96,4.45,41.0,G2V
31,ψ And,Andromeda,23.767233333333333,46.42027777777778,4.97,-3.05,1309.0,G5Ib
32,22 And,Andromeda,0.17201111111111111,46.07227777777778,5.01,-2.44,1006.0,F2II
33,χ And,Andromeda,1.6558388888888889,44.38613888888889,5.01,0.66,242.0,G8III...
34,41 And,Andromeda,1.1335333333333333,43.942249999999994,5.04,1.14,196.0,A3m
35,2 And,Andromeda,23.04342777777778,42.75780555555556,5.09,-0.06,349.0,A3Vn
36,V428 And,Andromeda,0.6129083333333333,44.4885,5.14,-1.38,656.0,K5III
37,ρ And,Andromeda,0.3520083333333333,37.968694444444445,5.16,1.71,160.0,F5III
38,HD 2421,Andromeda,0.47044166666666665,44.3945,5.18,0.63,265.0,A2Vs
39,64 And,Andromeda,2.406913888888889,50.00663888888889,5.19,-0.11,375.0,G8III
40,GN And,Andromeda,0.5020388888888889,29.751694444444446,5.2,1.43,185.0,A7III
41,14 And,Andromeda,23.521444444444445,39.23638888888889,5.22,0.8,249.0,K0III
42,49 And,Andromeda,1.5016944444444444,47.00738888888889,5.27,0.53,290.0,K0III
43,32 And,Andromeda,0.6853333333333333,39.45866666666667,5.3,0.18,344.0,G8III
44,4 And,Andromeda,23.127577777777777,46.38730555555556,5.3,0.2,342.0,K5III
45,6 Per,Andromeda,2.226672222222222,51.06622222222222,5.31,1.38,199.0,G8III:var
46,62 And,Andromeda,2.321347222222222,47.38,5.31,0.84,255.0,A1V
47,18 And,Andromeda,23.652319444444444,50.47175,5.35,-0.04,390.0,B9V
48,55 And,Andromeda,1.8881527777777778,40.72980555555556,5.42,-0.67,540.0,K1III
49,11 And,Andromeda,23.324941666666668,48.625194444444446,5.44,0.43,328.0,K0III
50,36 And,Andromeda,0.9161166666666667,23.628444444444444,5.46,2.51,127.0,K1IV
51,V340 And,Andromeda,23.57709722222222,40.236555555555555,5.55,1.28,233.0,A1III
52,PZ And,Andromeda,2.3494916666666668,50.15152777777778,5.57,0.38,356.0,B9p Si
53,47 And,Andromeda,1.3946,37.715,5.6,1.54,211.0,A1m
54,44 And,Andromeda,1.171902777777778,42.081583333333334,5.67,2.06,172.0,F8V
55,5 And,Andromeda,23.129236111111112,49.29544444444444,5.68,3.02,111.0,F5V
56,HD 5788,Andromeda,1.0009861111111111,44.71330555555556,5.69,0.14,420.0,A2Vn
57,56 And,Andromeda,1.9358972222222222,37.251805555555556,5.69,0.73,320.0,G8III...
58,23 And,Andromeda,0.2252611111111111,41.03572222222222,5.71,2.99,114.0,F0IV
59,HD 16028,Andromeda,2.5940944444444445,37.31227777777777,5.72,-0.86,676.0,K4III
60,V388 And,Andromeda,23.45203611111111,42.91197222222222,5.75,0.97,294.0,B9III
61,12 And,Andromeda,23.348102777777775,38.182472222222216,5.77,2.63,138.0,F5V
62,45 And,Andromeda,1.1861916666666668,37.72413888888889,5.8,-1.44,916.0,B7III-IV
63,HD 14622,Andromeda,2.3806555555555557,41.39652777777778,5.81,2.44,154.0,F0III-IV
64,10 And,Andromeda,23.331216666666666,42.078027777777784,5.81,-0.3,542.0,M0III
65,HD 222109,Andromeda,23.62556388888889,44.429027777777776,5.81,-1.2,823.0,B8V
66,HD 224635,Andromeda,23.991480555555558,33.72413888888889,5.81,3.5,95.0,F8
67,OU And,Andromeda,23.828044444444444,36.42538888888889,5.86,0.21,440.0,G1IIIe
68,HD 2767,Andromeda,0.5237805555555556,33.581694444444445,5.88,0.1,467.0,K1III...
69,HD 1606,Andromeda,0.3401083333333333,30.93561111111111,5.89,-0.37,582.0,B7V
70,KK And,Andromeda,1.5712777777777778,37.23719444444445,5.9,0.5,392.0,B8Vp(Si)
71,6 And,Andromeda,23.174266666666668,43.54475,5.91,3.65,112.0,F5V
72,39 And,Andromeda,1.0484111111111112,41.345194444444445,5.95,0.84,344.0,A5m
73,AN And,Andromeda,23.306480555555556,41.773694444444445,5.98,0.17,472.0,A7m
74,HD 5608,Andromeda,0.9706083333333333,33.951055555555556,5.99,2.17,190.0,K0
75,HD 3883,Andromeda,0.6933277777777778,24.629055555555556,6.06,0.3,462.0,A7m
76,V439 And,Andromeda,0.11014722222222223,29.021944444444443,6.07,5.39,45.0,K0V
77,HD 223229,Andromeda,23.79251388888889,46.83258333333334,6.08,-1.96,1320.0,B3IV
78,59 And A,Andromeda,2.1813416666666665,39.03958333333333,6.09,1.56,263.0,B9V
79,26 And,Andromeda,0.3117083333333333,43.79113888888889,6.1,-0.53,692.0,B8V
80,HD 225218,Andromeda,0.07683333333333334,42.092555555555556,6.11,-2.45,1680.0,B9III
81,HD 1185,Andromeda,0.2726388888888889,43.595111111111116,6.12,1.28,303.0,A2V
82,GO And,Andromeda,0.8383916666666668,45.00225,6.13,1.34,296.0,A0p...
83,66 And,Andromeda,2.464375,50.570194444444446,6.16,2.54,173.0,F4V
84,HD 221776,Andromeda,23.57964722222222,38.02397222222222,6.18,-0.41,678.0,K5
85,HD 221246,Andromeda,23.502052777777777,49.13313888888889,6.19,-0.91,856.0,K5III
86,OP And,Andromeda,1.6075583333333334,48.722833333333334,6.2,0.65,420.0,K1III:
87,HD 895,Andromeda,0.2233138888888889,26.98761111111111,6.24,0.78,403.0,G0III
88,HD 220105,Andromeda,23.34558611111111,44.11625,6.25,1.73,261.0,A5Vn
89,HD 2942,Andromeda,0.5469694444444444,28.28022222222222,6.26,0.47,469.0,G8II
90,HD 8673,Andromeda,1.4357277777777777,34.57991666666667,6.34,3.43,125.0,F7V
91,CG And,Andromeda,0.012116666666666666,45.25333333333333,6.36,-0.23,678.0,B9p SiEu
92,HD 16004,Andromeda,2.5910805555555556,39.66447222222222,6.36,0.11,580.0,B9MNp...
93,LN And,Andromeda,23.045875000000002,44.05877777777778,6.37,-1.42,1177.0,B2V
94,V385 And,Andromeda,23.402466666666665,41.612861111111116,6.37,-1.55,1249.0,M0
95,GY And,Andromeda,1.6421777777777777,45.39969444444444,6.38,0.66,455.0,B9Vp (Cr-Eu)
96,V529 And,Andromeda,1.4574083333333332,41.10111111111111,6.42,2.69,182.0,Am...
97,HD 222641,Andromeda,23.704077777777776,44.99175,6.43,-0.48,786.0,K5III
98,HD 7853,Andromeda,1.3130611111111112,37.38630555555555,6.44,0.71,456.0,A5m
99,HD 6114,Andromeda,1.0504083333333334,47.376194444444444,6.46,1.39,337.0,A9V
100,ET And,Andromeda,23.298886111111113,45.48894444444444,6.48,0.36,545.0,B9Vp(Si)
101,HD 222399,Andromeda,23.667450000000002,37.652833333333334,6.49,1.74,291.0,F2IV
102,PY And,Andromeda,0.6055555555555555,27.254722222222224,6.5,-0.16,701.0,B8IIImnp...
103,59 And B,Andromeda,2.181575,39.04333333333333,6.82,-1.76,1698.0,A1Vn
104,HD 222155,Andromeda,23.633333333333333,48.99638888888889,7.1,3.65,160.0,G2V
105,HD 16175,Andromeda,2.6171972222222224,42.062638888888884,7.28,3.4,195.0,G0
106,R And,Andromeda,0.4005416666666667,38.57702777777778,7.39,-5.19,790.0,S6.5IIIeZr6Ti2
107,HD 1605,Andromeda,0.3422222222222222,30.97472222222222,7.52,2.88,276.0,K1IV
108,HD 13931,Andromeda,2.279827777777778,43.772999999999996,7.52,4.3,144.0,G0
109,HD 5583,Andromeda,0.9658333333333333,34.98555555555556,7.6,0.88,721.0,K0
110,RW And,Andromeda,0.7885888888888889,32.68572222222222,7.9,-0.52,1375.0,"M5e-M10e(S6,2e)"
111,GRB 34,Andromeda,0.3063611111111111,44.022777777777776,8.01,10.25,11.62,M6Ve + M1Ve
112,HD 15082,Andromeda,2.447516666666667,37.55047222222222,8.3,3.0,377.0,A5
115,Z And,Andromeda,23.561097222222223,48.81830555555556,10.53,2.38,1393.0,M2III + B1eq
116,HAT-P-6,Andromeda,23.65161388888889,42.46597222222223,10.54,4.03,650.0,F
117,HAT-P-16,Andromeda,0.6382111111111111,42.46311111111111,10.8,3.9,766.0,F8
118,HAT-P-32,Andromeda,2.0194444444444444,46.687777777777775,11.29,3.76,1044.0,F/G
119,WASP-1,Andromeda,0.34446666666666664,31.989944444444447,11.79,3.89,1239.0,F7V
120,Ross 248,Andromeda,23.698608333333333,44.178,12.29,14.79,10.32,M6e
121,HAT-P-19,Andromeda,0.6344444444444444,34.711666666666666,12.9,6.24,701.0,K
122,HAT-P-28,Andromeda,0.8666666666666667,34.72833333333333,13.03,5.05,1288.0,G3
0,α Ari,Aries,2.119525,23.462777777777777,2.01,0.48,66.0,K2III
1,β Ari,Aries,1.9106527777777778,20.808305555555556,2.64,1.33,60.0,A5V...
2,41 Ari,Aries,2.8330527777777776,27.26077777777778,3.61,0.16,159.0,B8Vn
3,δ Ari,Aries,3.193797222222222,19.726694444444444,4.35,0.79,168.0,K2IIIvar
4,HD 20644,Aries,3.338991666666667,29.0485,4.47,-2.0,640.0,K2II-III
5,39 Ari,Aries,2.7984555555555555,29.247416666666666,4.52,0.8,181.0,K1III
6,γ2 Ari,Aries,1.8921666666666666,19.295833333333334,4.62,1.11,164.0,kA0hA3(IV)SiSr
7,35 Ari,Aries,2.724197222222222,27.707166666666666,4.65,-0.62,370.0,B3V
8,γ1 Ari,Aries,1.8921583333333334,19.294083333333337,4.7,1.19,164.0,B9.5IV
9,λ Ari,Aries,1.9654944444444444,23.596083333333333,4.79,1.73,133.0,F0V
10,ζ Ari,Aries,3.248363888888889,21.04463888888889,4.87,-0.22,340.0,A1V
11,14 Ari,Aries,2.157025,25.939972222222224,4.98,0.02,320.0,F2III
12,κ Ari,Aries,2.1094194444444447,22.648416666666666,5.03,1.23,187.0,A2m
13,ι Ari,Aries,1.9558416666666667,17.81758333333333,5.09,-1.44,659.0,K1p...
14,τ2 Ari,Aries,3.3792416666666667,20.74211111111111,5.1,0.15,319.0,K3III
15,38 Ari,Aries,2.7493083333333335,12.445972222222222,5.18,2.26,125.0,A7III-IV
16,ε Ari A,Aries,2.986861111111111,21.340277777777775,5.2,0.16,332.0,A2Vs
17,η Ari,Aries,2.213327777777778,21.21097222222222,5.23,2.84,98.0,F5V
18,π Ari,Aries,2.821544444444444,17.464333333333332,5.26,-1.07,603.0,B6V
19,τ1 Ari,Aries,3.3537805555555558,21.14713888888889,5.27,-0.49,462.0,B5IV
20,33 Ari,Aries,2.6780638888888886,27.061,5.3,1.03,233.0,A3V
21,ν Ari,Aries,2.6469444444444443,21.961444444444442,5.45,0.32,346.0,A7V
22,52 Ari A,Aries,3.0907472222222223,25.255194444444445,5.45,0.0,402.0,B7Vn
23,ξ Ari,Aries,2.413622222222222,10.61061111111111,5.48,-0.85,603.0,B7IV
24,ε Ari B,Aries,2.9868694444444444,21.340444444444444,5.5,0.46,332.0,A2Vs
25,64 Ari,Aries,3.4051277777777775,24.724194444444443,5.5,1.26,230.0,K4III
26,σ Ari,Aries,2.858213888888889,15.082138888888888,5.52,-0.32,479.0,B7V
27,62 Ari,Aries,3.3699694444444446,27.607583333333334,5.55,-1.82,973.0,G5III
28,21 Ari,Aries,2.2618972222222222,25.04325,5.57,2.16,157.0,F6V
29,θ Ari,Aries,2.3020972222222222,19.901166666666665,5.58,0.21,387.0,A1Vn
30,ρ3 Ari,Aries,2.9405500000000004,18.02363888888889,5.58,2.83,115.0,F6V
31,HD 20149,Aries,3.2556805555555557,30.55666666666667,5.61,-0.01,434.0,A1Vs
32,10 Ari,Aries,2.0609055555555553,25.935444444444446,5.64,2.02,172.0,F8IV
33,31 Ari,Aries,2.6104861111111113,12.447833333333334,5.64,2.91,115.0,F7V
34,HD 19270,Aries,3.1065805555555555,13.18738888888889,5.64,0.69,319.0,K3III
35,15 Ari,Aries,2.177094444444444,19.500416666666666,5.68,-0.87,665.0,M3III
36,19 Ari,Aries,2.2175694444444445,15.279916666666667,5.72,-0.38,541.0,M0III
37,μ Ari,Aries,2.706088888888889,20.011583333333334,5.74,0.66,338.0,A0V
38,55 Ari,Aries,3.1602027777777777,29.077111111111112,5.74,-1.96,1128.0,B8III
39,7 Ari,Aries,1.9308416666666666,23.577333333333332,5.76,-0.26,522.0,K1III
40,ρ2 Ari,Aries,2.9301388888888886,18.331666666666667,5.76,0.3,403.0,M6IIIvar
41,ο Ari,Aries,2.7424916666666665,15.31188888888889,5.78,-0.07,482.0,B9Vn
42,56 Ari,Aries,3.203955555555556,27.257,5.78,0.5,371.0,B9p Si
43,20 Ari,Aries,2.2627611111111112,25.78311111111111,5.79,2.77,131.0,F6IV-V
44,47 Ari,Aries,2.968077777777778,20.668805555555558,5.8,3.29,104.0,F5IV
45,1 Ari A,Aries,1.8357166666666669,22.27536111111111,5.83,-0.4,574.0,K1III+...
46,40 Ari,Aries,2.8089055555555555,18.28386111111111,5.83,-0.11,502.0,K1III
47,4 Ari,Aries,1.803027777777778,16.95563888888889,5.86,1.14,287.0,B9.5V
48,HD 15524,Aries,2.508975,25.235222222222223,5.88,2.34,166.0,F6IV
49,HD 12139,Aries,1.9932222222222222,21.058611111111112,5.89,0.45,399.0,K0III-IV
50,HR 830,Aries,2.8127416666666667,25.188083333333335,5.89,0.14,460.0,A0V
52,49 Ari,Aries,3.0317083333333334,26.462333333333333,5.91,1.82,214.0,A3m
53,59 Ari,Aries,3.3321694444444443,27.071305555555554,5.91,1.91,205.0,G8IV
54,54 Cet,Aries,1.8477805555555558,11.043444444444445,5.93,2.77,139.0,F2Vw
55,HD 18700,Aries,3.0122472222222223,10.870472222222222,5.93,0.27,441.0,K6
56,HD 13522,Aries,2.2104194444444447,24.167805555555557,5.96,-0.23,565.0,K0
57,HD 12479,Aries,2.0430777777777775,13.476722222222222,5.97,-1.1,845.0,M2III
58,HD 19698,Aries,3.1774388888888887,11.872694444444445,5.97,-0.05,522.0,B8V
59,29 Ari,Aries,2.548375,15.034472222222222,6.0,3.71,94.0,F8V
60,11 Ari,Aries,2.113672222222222,25.704583333333332,6.01,-1.75,1160.0,B9IV-Vn
61,16 Ari,Aries,2.1866833333333333,25.936944444444446,6.01,-0.94,801.0,K4III
62,HD 19637,Aries,3.1741777777777775,26.896083333333333,6.02,0.54,406.0,K3III
63,66 Ari,Aries,3.4740472222222225,22.804277777777777,6.03,1.83,226.0,K0IV
64,65 Ari,Aries,3.407252777777778,20.8035,6.07,1.23,303.0,A1V
65,HD 12140,Aries,1.9905222222222223,12.294944444444445,6.09,1.51,269.0,A6V
66,HD 19789,Aries,3.189425,13.047805555555556,6.11,0.99,344.0,K0IIIp
67,53 Ari,Aries,3.1238027777777777,17.87997222222222,6.13,-0.69,755.0,B1.5V
68,HD 15152,Aries,2.4520166666666667,27.012583333333332,6.14,0.37,464.0,K5III
69,26 Ari,Aries,2.510658333333333,19.85538888888889,6.14,1.94,226.0,A9V
70,60 Ari,Aries,3.3404361111111114,25.66297222222222,6.14,1.4,289.0,K3III:
71,HD 15385,Aries,2.4871194444444447,23.46908333333333,6.2,1.65,264.0,A5m
72,27 Ari,Aries,2.5151055555555555,17.704055555555556,6.21,1.3,313.0,G5III-IV
73,HD 12594,Aries,2.061836111111111,18.25327777777778,6.24,-1.83,1342.0,K4III
74,54 Ari,Aries,3.1391916666666666,18.795083333333334,6.25,0.03,570.0,M0III
75,HD 17918,Aries,2.886572222222222,16.483611111111113,6.3,1.14,352.0,F5III
76,85 Cet,Aries,2.708041666666667,10.741777777777777,6.32,0.74,426.0,A2V
77,HD 16955,Aries,2.7309027777777777,25.638333333333332,6.35,1.19,352.0,A3V
78,HD 19080,Aries,3.0779583333333336,15.85625,6.37,-0.06,631.0,K3III
79,HD 18928,Aries,3.0583638888888887,28.269944444444445,6.38,2.89,163.0,F0V
80,HD 13201,Aries,2.156397222222222,17.224638888888887,6.4,3.43,128.0,F5V
81,HD 20367,Aries,3.294477777777778,31.127194444444445,6.4,4.23,88.0,G0V
82,HD 19549,Aries,3.1555833333333334,20.76113888888889,6.41,0.45,506.0,K2
83,HD 19600,Aries,3.169119444444444,27.81988888888889,6.42,0.09,601.0,A0V
84,HD 14262,Aries,2.3160999999999996,23.167833333333334,6.45,1.34,343.0,A7V
85,36 Ari,Aries,2.738636111111111,17.764027777777777,6.46,0.89,413.0,K2III
86,UX Ari,Aries,3.4431555555555557,28.715333333333334,6.47,2.97,164.0,G5IV
87,30 Ari A,Aries,2.616788888888889,24.64725,6.48,3.46,131.0,F6III
88,HD 14067,Aries,2.286222222222222,23.767777777777777,6.51,0.44,533.0,G9 III
89,51 Ari,Aries,3.040519444444444,26.60963888888889,6.62,4.99,69.0,G8V
90,VW Ari,Aries,2.446013888888889,10.565305555555556,6.69,1.16,416.0,F0IV
91,AF Ari,Aries,2.3685055555555556,22.873583333333332,6.71,0.5,615.0,G3III
92,VY Ari,Aries,2.8121444444444443,31.115194444444445,6.76,3.65,136.5,K0
96,ρ1 Ari,Aries,2.9153249999999997,17.734805555555557,7.01,2.1,313.0,A3
97,30 Ari B,Aries,2.6160111111111113,24.648083333333332,7.09,4.11,129.0,F6V
98,R Ari,Aries,2.2686416666666664,25.056583333333332,7.4,-2.99,3900.0,M3-6e
99,HD 12661,Aries,2.076191666666667,25.414305555555554,7.44,4.59,121.0,K0V
102,HIP 14810,Aries,3.187286111111111,21.09736111111111,8.52,4.9,172.0,G5V
103,BD +20°307,Aries,1.9141083333333333,21.306250000000002,9.01,4.19,300.0,G0V
104,X Ari,Aries,3.141913888888889,10.44588888888889,9.04,-1.23,3700.0,F0.5
107,SS Ari,Aries,2.0717805555555557,24.000611111111112,10.15,3.52,692.0,G0
110,WASP-11/HAT-P-10,Aries,3.1579305555555557,30.673583333333333,11.89,6.41,408.0,K3V
112,L 1159-16,Aries,2.0035527777777777,13.053111111111113,12.26,13.99,14.5,M4.5
115,HAT-P-25,Aries,3.229166666666667,25.1975,13.19,5.83,969.0,G5
118,Teegarden's star,Aries,2.8835805555555556,16.881305555555556,15.4,17.47,12.6,M7.5
0,Capella,Auriga,5.278138888888889,45.999027777777776,0.08,-0.48,42.0,G8III / G0III
1,β Aur,Auriga,5.992158333333333,44.94744444444444,1.9,-0.1,82.0,A2V
2,θ Aur,Auriga,5.995344444444444,37.21277777777778,2.62,-0.98,173.0,A0p Si
3,ι Aur,Auriga,4.949894444444444,33.16613888888889,2.69,-3.29,512.0,K3IIvar
4,ε Aur,Auriga,5.032813888888889,43.82330555555556,3.03,-5.95,2037.0,F0Ia
5,η Aur,Auriga,5.108575,41.23463888888889,3.18,-0.96,219.0,B3V
6,ζ Aur,Auriga,5.0413,41.07588888888889,3.69,-3.22,787.0,K4II comp
7,δ Aur,Auriga,5.992097222222222,54.28497222222222,3.72,0.55,140.0,K0III
8,ν Aur,Auriga,5.858163888888889,39.148472222222225,3.97,-0.13,215.0,K0III
9,π Aur,Auriga,5.998916666666667,45.936749999999996,4.3,-2.76,840.0,M3IIvar
10,κ Aur,Auriga,6.256316666666667,29.498722222222224,4.32,0.75,169.0,G8IIIvar
11,τ Aur,Auriga,5.819572222222222,39.18113888888889,4.51,0.44,213.0,G8III
12,16 Aur,Auriga,5.302930555555555,33.372,4.54,0.26,234.0,K3III...
13,λ Aur,Auriga,5.3189111111111105,40.10066666666667,4.69,4.18,41.0,G0V
14,χ Aur,Auriga,5.5454638888888885,32.192027777777774,4.71,-5.77,4075.0,B5Iab
15,υ Aur,Auriga,5.850669444444444,37.30569444444444,4.72,-1.1,475.0,M1III
16,2 Aur,Auriga,4.877222222222223,36.70319444444445,4.79,-1.39,561.0,K3III
17,ψ2 Aur,Auriga,6.655508333333334,42.489000000000004,4.8,-0.81,432.0,K3III
18,μ Aur,Auriga,5.223813888888889,38.48466666666667,4.82,1.33,162.0,A4m
19,63 Aur,Auriga,7.194247222222223,39.32055555555556,4.91,-0.86,464.0,K4II-III
20,ψ1 Aur,Auriga,6.4149722222222225,49.28788888888889,4.92,-5.43,3835.0,K5Iabvar
21,ω Aur,Auriga,4.987605555555556,37.89047222222222,4.93,1.49,159.0,A1V
22,ξ Aur,Auriga,5.914108333333334,55.70691666666667,4.96,0.62,241.0,A2V
23,9 Aur,Auriga,5.111294444444444,51.59813888888889,4.98,2.89,85.0,F0V
24,ψ7 Aur,Auriga,6.8461,41.781555555555556,4.99,-0.25,364.0,K3III
25,KW Aur,Auriga,5.256780555555555,32.68758333333333,5.01,0.43,269.0,A9IV
26,σ Aur,Auriga,5.410872222222222,37.38538888888889,5.02,-0.97,513.0,K4III
27,ψ4 Aur,Auriga,6.7180583333333335,44.52452777777778,5.04,0.18,306.0,K5III
28,19 Aur,Auriga,5.3335888888888885,33.95805555555556,5.05,-4.82,3075.0,A5IIvar
29,φ Aur,Auriga,5.460802777777778,34.476,5.08,-0.37,400.0,K4IIIp
30,65 Aur,Auriga,7.367413888888889,36.76063888888889,5.12,0.84,235.0,K0III
31,ρ Aur,Auriga,5.363447222222222,41.80466666666666,5.22,-1.25,642.0,B5V
32,ψ6 Aur,Auriga,6.794327777777777,48.78947222222222,5.22,-0.35,424.0,K1III
33,66 Aur,Auriga,7.402352777777778,40.672444444444444,5.23,-1.51,728.0,K0III
34,ψ5 Aur,Auriga,6.778983333333334,43.57702777777778,5.24,4.15,54.0,G0V
35,49 Aur,Auriga,6.586683333333333,28.022333333333332,5.26,-0.42,447.0,A0Vnn
36,45 Aur,Auriga,6.362808333333333,53.45238888888889,5.34,1.56,186.0,F5III...
37,ψ3 Aur,Auriga,6.646997222222222,39.90258333333333,5.34,-1.49,758.0,B8III
38,40 Aur,Auriga,6.1097472222222216,38.48277777777778,5.36,0.01,380.0,A4m
39,IQ Aur,Auriga,5.316672222222222,33.748472222222226,5.38,-0.31,448.0,A0p...
40,26 Aur,Auriga,5.643916666666666,30.492444444444445,5.4,-0.29,447.0,A2V + GIII
41,UU Aur,Auriga,6.609122222222222,38.44555555555555,5.4,-3.32,1811.0,C5II
42,ο Aur,Auriga,5.765013888888889,49.82627777777778,5.46,-0.39,482.0,A0p...
43,PU Aur,Auriga,5.3043555555555555,42.79219444444444,5.55,-1.09,694.0,M4III
44,HD 34790,Auriga,5.353524999999999,29.56988888888889,5.66,1.0,278.0,A1Vs
45,51 Aur,Auriga,6.644319444444444,39.39111111111111,5.7,0.76,317.0,K5III
46,36 Aur,Auriga,6.016266666666667,47.90197222222222,5.71,-1.77,1022.0,B9.5p SiFe
47,RT Aur,Auriga,6.476136111111111,30.493083333333335,5.75,-2.65,1560.0,F5.5Ibv
48,53 Aur,Auriga,6.639727777777777,28.98438888888889,5.76,0.2,421.0,B9npe...
49,41 Aur A,Auriga,6.193494444444445,48.711111111111116,5.78,0.88,311.0,A3V+...
50,WW Aur,Auriga,6.5408888888888885,32.45494444444445,5.82,1.19,275.0,A3m + A3m
51,HD 30453,Auriga,4.8219611111111105,32.58827777777778,5.84,0.78,336.0,A8m
52,ψ9 Aur,Auriga,6.942238888888889,46.274,5.85,-1.17,825.0,B8III
53,64 Aur,Auriga,7.3006166666666665,40.883361111111114,5.87,1.3,268.0,A5Vn
54,47 Aur,Auriga,6.500827777777777,46.68552777777777,5.88,-0.18,530.0,K4III
55,39 Aur,Auriga,6.084283333333333,42.981972222222225,5.9,2.34,168.0,F3V
56,5 Aur,Auriga,5.005097222222222,39.39469444444445,5.95,2.33,173.0,F5V
57,V433 Aur,Auriga,5.655086111111111,29.21522222222222,5.98,-1.81,1177.0,B2IV-V
58,AE Aur,Auriga,5.271708333333334,34.31222222222222,5.99,-2.26,1455.0,O9.5Vvar
59,V394 Aur,Auriga,6.106233333333333,29.512416666666667,6.01,-1.18,893.0,M3II comp
60,54 Aur,Auriga,6.6592,28.263166666666667,6.02,-0.67,709.0,B7III
61,62 Aur,Auriga,6.984133333333333,38.052611111111105,6.02,-0.31,603.0,K2III
62,HIP 26712,Auriga,5.676641666666667,31.358222222222224,6.04,0.1,502.0,B9.5III-IVp
63,38 Aur,Auriga,6.054963888888889,42.91188888888889,6.08,1.56,261.0,K0III
65,59 Aur,Auriga,6.883724999999999,38.86913888888889,6.1,0.04,530.0,F2V
66,AR Aur,Auriga,5.3052472222222224,33.76741666666666,6.15,0.72,398.0,B9.5V
67,V352 Aur,Auriga,6.920738888888889,43.91005555555555,6.16,-0.97,869.0,A9III
68,HD 35519,Auriga,5.448425,35.45730555555556,6.17,-0.31,644.0,K2
69,V538 Aur,Auriga,5.688980555555556,53.48233333333334,6.21,5.77,40.0,K1V
70,NO Aur,Auriga,5.678347222222222,31.92061111111111,6.23,-1.89,1370.0,M2SIab
71,V440 Aur,Auriga,5.85715,32.124694444444444,6.28,0.03,580.0,M3III
72,60 Aur,Auriga,6.887047222222222,38.43844444444444,6.32,2.23,214.0,F5V:
73,43 Aur,Auriga,6.304683333333333,46.36075,6.33,1.2,346.0,K2III
74,HD 36041,Auriga,5.512519444444444,39.826,6.38,0.63,460.0,G9III
75,35 Cam,Auriga,6.0747527777777774,51.5735,6.39,0.98,394.0,A7III
76,HD 33463,Auriga,5.193975,29.90363888888889,6.42,-1.31,1144.0,M2III
